"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","deathsper100k","newdeathsper100k","days_since_case100","days_since_death10"
"24392","Netherlands",2020-09-22,245,102844,2353,6338,11,3059,66,93447,600.2,13.7,545.4,37,0.1,200,193
"24525","New Zealand",2020-09-22,245,1824,9,25,0,1737,8,62,37.8,0.2,1.3,0.5,0,184,158
"24802","Nicaragua",2020-09-22,245,5073,112,149,2,2913,0,2011,76.6,1.7,30.4,2.2,0,126,126
"25026","Niger",2020-09-22,245,1193,4,69,0,1104,0,20,4.9,0,0.1,0.3,0,172,170
"25209","Nigeria",2020-09-22,245,57613,176,1100,0,48836,162,7677,27.9,0.1,3.7,0.5,0,177,164
"25462","North Macedonia",2020-09-22,245,16867,87,705,5,14084,135,2078,809.7,4.2,99.8,33.8,0.2,184,174
"25655","Norway",2020-09-22,245,13153,148,267,0,10371,0,2515,242.6,2.7,46.4,4.9,0,200,183
"25802","Oman",2020-09-22,245,94711,660,865,12,86195,414,7651,1854.5,12.9,149.8,16.9,0.2,180,151
"26122","Pakistan",2020-09-22,245,307418,532,6432,8,293916,757,7070,139.2,0.2,3.2,2.9,0,191,180
"26192","Panama",2020-09-22,245,107284,474,2285,13,83318,998,21681,2486.3,11,502.5,53,0.3,187,178
"26394","Papua New Guinea",2020-09-22,245,527,10,7,0,232,0,288,5.9,0.1,3.2,0.1,0,51,0
"26657","Paraguay",2020-09-22,245,34828,568,705,29,19257,628,14866,488.3,8,208.4,9.9,0.4,170,145
"26856","Peru",2020-09-22,245,768895,0,31369,0,607837,0,129689,2332,0,393.3,95.1,0,189,179
"27024","Philippines",2020-09-22,245,291789,1599,5049,50,230643,410,56097,266.3,1.5,51.2,4.6,0,192,191
"27258","Poland",2020-09-22,245,80699,711,2316,18,64972,368,13411,213.2,1.9,35.4,6.1,0,192,182
"27426","Portugal",2020-09-22,245,69663,463,1925,5,45974,238,21764,683.2,4.5,213.4,18.9,0,193,185
"27676","Qatar",2020-09-22,245,123917,313,211,0,120766,226,2940,4301.2,10.9,102,7.3,0,195,153
"27984","Republic of Korea",2020-09-22,245,23216,110,388,0,20650,209,2178,45.3,0.2,4.2,0.8,0,215,210
"28097","Republic of the Congo",2020-09-22,245,5002,0,89,0,3887,0,1026,90.6,0,18.6,1.6,0,160,141
"28411","Romania",2020-09-22,245,114648,1059,4503,45,92169,1520,17976,595.9,5.5,93.4,23.4,0.2,192,182
"28629","Russia",2020-09-22,245,1111157,6109,19575,155,914923,5897,176659,761.4,4.2,121.1,13.4,0.1,189,175
"28813","Rwanda",2020-09-22,245,4738,16,27,0,2991,18,1720,36.6,0.1,13.3,0.2,0,171,35
"29032","Saint Kitts and Nevis",2020-09-22,245,19,0,0,0,17,0,2,35.8,0,3.8,0,0,0,0
"29165","Saint Lucia",2020-09-22,245,27,0,0,0,26,0,1,14.7,0,0.5,0,0,0,0
"29303","Saint Vincent and the Grenadines",2020-09-22,245,64,0,0,0,64,0,0,57.7,0,0,0,0,0,0
"29426","San Marino",2020-09-22,245,723,0,42,0,669,0,12,2126.5,0,35.3,123.5,0,191,188
"29753","Sao Tome and Principe",2020-09-22,245,908,0,15,0,880,0,13,414.6,0,5.9,6.8,0,140,120
"29968","Saudi Arabia",2020-09-22,245,330798,552,4542,30,312684,1185,13572,950.2,1.6,39,13,0.1,192,175
"30026","Senegal",2020-09-22,245,14759,21,302,0,11621,163,2836,88.1,0.1,16.9,1.8,0,180,141
"30361","Serbia",2020-09-22,245,32999,61,743,0,0,0,32256,377.7,0.7,369.2,8.5,0,187,178
"30585","Seychelles",2020-09-22,245,143,0,0,0,136,0,7,145.9,0,7.1,0,0,74,0
"30711","Sierra Leone",2020-09-22,245,2174,6,72,0,1652,2,450,27.3,0.1,5.6,0.9,0,147,140
"30949","Singapore",2020-09-22,245,57627,21,27,0,57262,21,338,985.1,0.4,5.8,0.5,0,206,161
"31072","Slovakia",2020-09-22,245,6931,175,40,1,3668,97,3223,126.9,3.2,59,0.7,0,188,157
"31413","Slovenia",2020-09-22,245,4558,88,142,0,3048,0,1368,219.2,4.2,65.8,6.8,0,193,177
"31613","Somalia",2020-09-22,245,3465,0,98,0,2877,0,490,21.8,0,3.1,0.6,0,158,152
"31698","South Africa",2020-09-22,245,663282,1346,16118,126,592904,1696,54260,1118.3,2.3,91.5,27.2,0.2,188,170
"31918","South Sudan",2020-09-22,245,2660,11,49,0,1290,0,1321,23.8,0.1,11.8,0.4,0,137,118
"32206","Spain",2020-09-22,245,682267,10799,30904,241,150376,0,500987,1459.2,23.1,1071.5,66.1,0.5,204,199
"32234","Sri Lanka",2020-09-22,245,3313,14,13,0,3118,18,182,15.5,0.1,0.8,0.1,0,182,120
"32497","Sudan",2020-09-22,245,13578,23,836,0,6760,0,5982,31,0.1,13.6,1.9,0,155,157
"32814","Suriname",2020-09-22,245,4759,19,100,3,4541,16,118,810.7,3.2,20.1,17,0.5,108,90
"32952","Sweden",2020-09-22,245,89436,1199,5870,5,0,0,83566,885.6,11.9,827.5,58.1,0,200,189
"33175","Switzerland",2020-09-22,245,50664,286,2054,4,42100,1600,6510,585.4,3.3,75.2,23.7,0,201,193
"33475","Syria",2020-09-22,245,3877,44,178,3,983,20,2716,22.2,0.3,15.5,1,0,120,81
"33611","Taiwan",2020-09-22,245,509,0,7,0,479,0,23,2.1,0,0.1,0,0,188,0
"33762","Tajikistan",2020-09-22,245,9432,44,73,0,8199,47,1160,98.9,0.5,12.2,0.8,0,142,138
"33978","Tanzania, United Republic of",2020-09-22,245,509,0,21,0,183,0,305,0.9,0,0.5,0,0,158,155
"34205","Thailand",2020-09-22,245,3514,3,59,0,3345,2,110,5,0,0.2,0.1,0,191,175
"34376","The Bahamas",2020-09-22,245,3467,49,77,2,1871,100,1519,882.2,12.5,386.5,19.6,0.5,122,152
"34568","The Gambia",2020-09-22,245,3540,14,110,2,2002,10,1428,146.5,0.6,59.1,4.6,0.1,64,49
"34746","Timor-Leste",2020-09-22,245,27,0,0,0,27,0,0,2,0,0,0,0,0,0
"34964","Togo",2020-09-22,245,1683,14,41,0,1290,16,352,20.3,0.2,4.3,0.5,0,146,137
"35240","Trinidad and Tobago",2020-09-22,245,4026,81,65,0,1871,69,2090,287.8,5.8,149.4,4.6,0,171,39
"35285","Tunisia",2020-09-22,245,11260,0,164,0,2386,0,8710,95.3,0,73.7,1.4,0,182,175
"35536","Turkey",2020-09-22,245,306302,1692,7639,65,269696,1261,28967,363.2,2,34.3,9.1,0.1,187,184
"35680","Uganda",2020-09-22,245,6712,244,64,1,2778,47,3870,14.7,0.5,8.5,0.1,0,139,40
"35875","UK",2020-09-22,245,406058,4936,41914,37,2238,10,361906,598.1,7.3,533.1,61.7,0.1,204,193
"36221","Ukraine",2020-09-22,245,185890,2990,3716,64,82927,1796,99247,425,6.8,226.9,8.5,0.1,181,177
"36503","United Arab Emirates",2020-09-22,245,86447,852,405,0,76025,939,10017,874.1,8.6,101.3,4.1,0,188,171
"36653","Uruguay",2020-09-22,245,1934,7,46,0,1645,11,243,55.7,0.2,7,1.3,0,186,156
"36891","USA",2020-09-22,245,6896218,39334,200786,921,2646959,31010,4048473,2083.4,11.9,1223.1,60.7,0.3,202,202
"37162","Uzbekistan",2020-09-22,245,52685,615,442,5,49067,698,3176,157.4,1.8,9.5,1.3,0,178,142
"37258","Venezuela",2020-09-22,245,68453,1010,564,9,57774,1048,10115,240.7,3.6,35.6,2,0,180,154
"37532","Vietnam",2020-09-22,245,1068,0,35,0,957,10,76,1.1,0,0.1,0,0,184,47
"37690","West Bank and Gaza",2020-09-22,245,36580,429,269,4,25469,1041,10842,762.1,8.9,225.9,5.6,0.1,177,81
"37851","Western Sahara",2020-09-22,245,10,0,1,0,8,0,1,1.7,0,0.2,0.2,0,0,0
"38047","Yemen",2020-09-22,245,2028,0,586,0,1240,5,202,6.8,0,0.7,2,0,130,133
"38227","Zambia",2020-09-22,245,14389,214,331,0,13629,0,429,78.3,1.2,2.3,1.8,0,145,106
"38496","Zimbabwe",2020-09-22,245,7711,28,226,1,5979,55,1506,51.9,0.2,10.1,1.5,0,118,74
